Title,Year,Duration,MostLiked,Description,Director,FullCast,GenreFull,AboutFull,Age
The Adam Project,2022.0,106,0.0,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.",['Shawn Levy'],"['Ryan Reynolds,', 'Mark Ruffalo,', 'Jennifer Garner,', 'Walker Scobell,', 'Zoe Saldaña,', 'Catherine Keener,', 'Alex Mallari Jr.']","['Sci-Fi Movies,', 'Family Movies,', 'Action & Adventure,', 'Children & Family Movies,', 'Comedies']","['Witty,', 'Feel-Good,', 'Exciting']",13
Interstellar,2014.0,169,1.0,"With humanity teetering on the brink of extinction, a group of astronauts travels through a wormhole in search of another inhabitable planet.",['Christopher Nolan'],"['Matthew McConaughey,', 'Anne Hathaway,', 'Jessica Chastain,', 'Michael Caine,', 'Ellen Burstyn,', 'John Lithgow,', 'Casey Affleck,', 'Wes Bentley,', 'Bill Irwin,', 'Mackenzie Foy,', 'Topher Grace,', 'David Gyasi']","['Sci-Fi Movies,', 'Action & Adventure,', 'Dramas']","['Mind-Bending,', 'Cerebral']",13
Red Notice,2021.0,118,0.0,An FBI profiler pursuing the world's most wanted art thief becomes his reluctant partner in crime to catch an elusive crook who's always one step ahead.,['Rawson Marshall Thurber'],"['Dwayne Johnson,', 'Ryan Reynolds,', 'Gal Gadot,', 'Ritu Arya,', 'Chris Diamantopoulos']","['Action & Adventure,', 'Comedies,', 'Crime Movies']","['Irreverent,', 'Exciting']",13
Abduction,2011.0,105,0.0,"When a teen comes across his own childhood photo on a missing persons website, he begins to question everything he's ever known.",['John Singleton'],"['Taylor Lautner,', 'Lily Collins,', 'Alfred Molina,', 'Jason Isaacs,', 'Maria Bello,', 'Sigourney Weaver,', 'Michael Nyqvist,', 'Dermot Mulroney,', 'Nickola Shreli,', 'Elisabeth Röhm']","['Mysteries,', 'Action & Adventure']","['Suspenseful,', 'Exciting']",13
13 Hours: The Secret Soldiers of Benghazi,2016.0,145,0.0,"Members of an elite security team battle to save the lives of trapped U.S. Consulate personnel under attack by armed terrorists in Benghazi, Libya.",['Michael Bay'],"['John Krasinski,', 'James Badge Dale,', 'Max Martini,', 'Pablo Schreiber,', 'Toby Stephens,', 'Dominic Fumusa,', 'Matt Letscher,', 'David Denman,', 'Alexia Barlier,', 'David Costabile']","['Military Movies,', 'Movies Based on Real Life,', 'Movies Based on Books,', 'Action & Adventure']","['Gritty,', 'Exciting']",16
Blood Red Sky,2021.0,123,0.0,"When a group of terrorists hijacks an overnight transatlantic flight, a mysteriously ill woman must unleash a monstrous secret to protect her young son.",['Peter Thorwarth'],"['Peri Baumeister,', 'Alexander Scheer,', 'Kais Setti,', 'Carl Koch,', 'Gordon Brown,', 'Roland Møller,', 'Chidi Ajufo,', 'Kai Ivo Baulitz,', 'Graham McTavish,', 'Dominic Purcell']","['German,', 'Action & Adventure,', 'Horror Movies']",['Scary'],16
In Time,2011.0,109,0.0,"In a near future where no one ages and time is the new currency, a man becomes a suspect when he inherits decades from a wealthy murder victim.",['Andrew Niccol'],"['Amanda Seyfried,', 'Justin Timberlake,', 'Cillian Murphy,', 'Vincent Kartheiser,', 'Olivia Wilde,', 'Matt Bomer,', 'Johnny Galecki,', 'Alex Pettyfer,', 'Shyloh Oostwald,', 'Yaya DaCosta,', 'Ethan Peck,', 'Toby Hemingway']","['Sci-Fi Movies,', 'Action & Adventure']","['Suspenseful,', 'Exciting']",13
Lucy,2014.0,89,0.0,"When a young American in Taiwan becomes an unwilling drug mule, the high-tech narcotics get released into her system and activate superhuman powers.",['Luc Besson'],"['Scarlett Johansson,', 'Morgan Freeman,', 'Choi Min-sik,', 'Amr Waked,', 'Julian Rhind-Tutt,', 'Pilou Asbæk,', 'Analeigh Tipton,', 'Chang-Soo Shin,', 'Chong-Ju Seo']","['Sci-Fi Movies,', 'French,', 'Action & Adventure']","['Adrenaline Rush,', 'Exciting']",16
Interceptor,2022.0,98,0.0,The last officer standing on a remote missile defense base wages the battle of her life against terrorists aiming 16 stolen nuclear weapons at the US.,['Matthew Reilly'],"['Elsa Pataky,', 'Luke Bracey,', 'Aaron Glenane,', 'Mayen Mehta,', 'Rhys Muldoon,', 'Belinda Jombwe,', 'Colin Friels,', 'Zoe Carides']","['Australian,', 'Military Movies,', 'Action & Adventure']",['Exciting'],16
Jumanji: Welcome to the Jungle,2017.0,119,0.0,"Four high school students get sucked into the jungle setting of a video game, where they embark on a quest as their comically mismatched adult avatars.",['Jake Kasdan'],"['Dwayne Johnson,', 'Kevin Hart,', 'Jack Black,', 'Karen Gillan,', 'Rhys Darby,', 'Bobby Cannavale,', 'Nick Jonas,', 'Alex Wolff,', ""Ser'Darius Blain,"", 'Madison Iseman,', 'Morgan Turner,', 'Maribeth Monroe,', 'Missi Pyle,', 'Marc Evan Jackson']","['Family Movies,', 'Teen Movies,', 'Movies Based on Books,', 'Action & Adventure,', 'Children & Family Movies']","['Adrenaline Rush,', 'Exciting']",13
Suicide Squad,2016.0,122,0.0,A secret government official releases the world's worst super villains from prison to have them stop an impending apocalypse in exchange for freedom.,['David Ayer'],"['Will Smith,', 'Jared Leto,', 'Margot Robbie,', 'Joel Kinnaman,', 'Viola Davis,', 'Jai Courtney,', 'Jay Hernandez,', 'Cara Delevingne,', 'Adewale Akinnuoye-Agbaje,', 'Adam Beach']",['Action & Adventure'],['Exciting'],16
Love and Monsters,2021.0,109,0.0,"Seven years after he survived the monster apocalypse, lovably hapless Joel leaves his cozy underground bunker behind on a quest to reunite with his ex.",['Michael Matthews'],"[""Dylan O'Brien,"", 'Jessica Henwick,', 'Michael Rooker,', 'Dan Ewing,', 'Ariana Greenblatt']","['Sci-Fi Movies,', 'Family Movies,', 'Teen Movies,', 'Action & Adventure,', 'Children & Family Movies']",['Exciting'],13
Central Intelligence,2016.0,107,0.0,A CIA operative contacts a former high school buddy with accounting chops to help dissolve a lethal plot against U.S. undercover agents.,['Rawson Marshall Thurber'],"['Kevin Hart,', 'Dwayne Johnson,', 'Amy Ryan,', 'Danielle Nicolet,', 'Jason Bateman,', 'Aaron Paul,', 'Ryan Hansen,', 'Tim Griffin,', 'Timothy John Smith,', 'Sione Kelepi']","['Spy Movies,', 'Action & Adventure,', 'Comedies']","['Goofy,', 'Exciting']",13
War of the Worlds,2005.0,117,0.0,"When a violent alien takeover threatens Earth, an estranged dad must step up to protect his two kids — and he’ll stop at nothing to keep them safe.",['Steven Spielberg'],"['Tom Cruise,', 'Dakota Fanning,', 'Miranda Otto,', 'Justin Chatwin,', 'Tim Robbins,', 'Rick Gonzalez,', 'Yul Vazquez,', 'Lenny Venito']","['Sci-Fi Movies,', 'Movies Based on Books,', 'Action & Adventure']",['Mind-Bending'],16
Twilight,2008.0,121,0.0,"When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire.",['Catherine Hardwicke'],"['Kristen Stewart,', 'Robert Pattinson,', 'Billy Burke,', 'Peter Facinelli,', 'Elizabeth Reaser,', 'Cam Gigandet,', 'Ashley Greene,', 'Anna Kendrick,', 'Nikki Reed,', 'Taylor Lautner,', 'Jackson Rathbone,', 'Kellan Lutz']","['Teen Movies,', 'Movies Based on Books,', 'Action & Adventure,', 'Dramas,', 'Romantic Movies']","['Ominous,', 'Suspenseful,', 'Romantic']",13
World War Z,2013.0,116,0.0,A U.N. employee races against time and fate as he travels the world trying to stop the spread of a deadly zombie pandemic.,['Marc Forster'],"['Brad Pitt,', 'Mireille Enos,', 'Daniella Kertesz,', 'James Badge Dale,', 'David Morse,', 'Ludi Boeken,', 'Fana Mokoena,', 'Abigail Hargrove,', 'Sterling Jerins,', 'Fabrizio Guido']","['Sci-Fi Movies,', 'Movies Based on Books,', 'Action & Adventure,', 'Horror Movies']","['Violent,', 'Scary,', 'Suspenseful']",16
2012,2009.0,158,0.0,"When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos.",['Roland Emmerich'],"['John Cusack,', 'Amanda Peet,', 'Chiwetel Ejiofor,', 'Thandiwe Newton,', 'Oliver Platt,', 'Tom McCarthy,', 'Woody Harrelson,', 'Danny Glover,', 'Liam James,', 'Morgan Lily']","['Sci-Fi Movies,', 'Action & Adventure']",['Exciting'],13
Venom,2018.0,112,0.0,A reporter battles a mad scientist in a fight for his life after merging with a snarky alien symbiote that gives him remarkable superpowers.,['Ruben Fleischer'],"['Tom Hardy,', 'Michelle Williams,', 'Riz Ahmed,', 'Scott Haze,', 'Reid Scott,', 'Jenny Slate,', 'Melora Walters,', 'Woody Harrelson,', 'Peggy Lu,', 'Malcolm C. Murray']","['Sci-Fi Movies,', 'Action & Adventure']",['Adrenaline Rush'],13
Spider-Man 3,2007.0,139,0.0,The seemingly invincible Spider-Man goes up against an all-new crop of villains in the third installment of the blockbuster adventure series.,['Sam Raimi'],"['Tobey Maguire,', 'Kirsten Dunst,', 'James Franco,', 'Thomas Haden Church,', 'Topher Grace,', 'Bryce Dallas Howard,', 'Rosemary Harris,', 'J.K. Simmons,', 'James Cromwell,', 'Theresa Russell,', 'Dylan Baker,', 'Bill Nunn,', 'Bruce Campbell,', 'Elizabeth Banks']","['Sci-Fi Movies,', 'Action & Adventure']",['Exciting'],16
The Matrix,1999.0,136,1.0,What is The Matrix? That question leads computer hacker Neo down a rabbit hole — and to the mind-blowing truth about the world as he knows it.,"['Lilly Wachowski,', 'Lana Wachowski']","['Keanu Reeves,', 'Laurence Fishburne,', 'Carrie-Anne Moss,', 'Hugo Weaving,', 'Gloria Foster,', 'Joe Pantoliano,', 'Marcus Chong,', 'Julian Arahanga,', 'Matt Doran,', 'Belinda McClory']","['Martial Arts Movies,', 'Sci-Fi Movies,', 'Action & Adventure']",['Mind-Bending'],16
Unknown,2011.0,113,0.0,"After waking from a coma, a professor finds that he's being impersonated by another man and must fight to prove his identity.",['Jaume Collet-Serra'],"['Liam Neeson,', 'Diane Kruger,', 'January Jones,', 'Aidan Quinn,', 'Bruno Ganz,', 'Frank Langella,', 'Sebastian Koch,', 'Olivier Schneider,', 'Stipe Erceg,', 'Rainer Bock']","['Mysteries,', 'Movies Based on Books,', 'Action & Adventure']",['Exciting'],16
Mr. & Mrs. Smith,2005.0,113,0.0,John and Jane are an average-on-the-surface couple who don't yet know that they share the same undercover line of work: They're both guns for hire.,['Doug Liman'],"['Brad Pitt,', 'Angelina Jolie,', 'Vince Vaughn,', 'Adam Brody,', 'Kerry Washington,', 'Keith David,', 'Chris Weitz,', 'Rachael Huntley,', 'Michelle Monaghan,', 'Stephanie March']","['Romantic Comedies,', 'Action & Adventure,', 'Comedies,', 'Crime Movies,', 'Romantic Movies']","['Exciting,', 'Romantic']",16
The Accountant,2016.0,127,0.0,"Not only is this accountant able to dig deeply into a company's books, he's also an expert assassin, and his new client can use both skills.","[""Gavin O'Connor""]","['Ben Affleck,', 'Anna Kendrick,', 'J.K. Simmons,', 'Jon Bernthal,', 'Cynthia Addai-Robinson,', 'Jean Smart,', 'Jeffrey Tambor,', 'John Lithgow']","['Action & Adventure,', 'Crime Movies']",['Exciting'],16
Cast Away,2000.0,144,0.0,"After FedEx systems engineer Chuck Noland's plane crashes in the Pacific Ocean, he finds himself fighting to survive on a deserted island.",['Robert Zemeckis'],"['Tom Hanks,', 'Helen Hunt,', 'Nick Searcy,', 'Jenifer Lewis,', 'Geoffrey Blake,', 'Peter von Berg,', 'Chris Noth,', 'Lari White']","['Action & Adventure,', 'Dramas']",['Emotional'],13
Enola Holmes,2020.0,124,1.0,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",['Harry Bradbeer'],"['Millie Bobby Brown,', 'Henry Cavill,', 'Sam Claflin,', 'Helena Bonham Carter,', 'Louis Partridge,', 'Burn Gorman,', 'Adeel Akhtar,', 'Susan Wokoma,', 'Frances de la Tour,', 'Fiona Shaw']","['Mysteries,', 'Family Movies,', 'Period Pieces,', 'Movies Based on Books,', 'Action & Adventure']","['Witty,', 'Suspenseful,', 'Exciting']",13
The Equalizer,2014.0,132,1.0,Retired intelligence operative Robert McCall reluctantly returns to action to protect a young prostitute from brutal members of the Russian Mafia.,['Antoine Fuqua'],"['Denzel Washington,', 'Marton Csokas,', 'Chloë Grace Moretz,', 'David Harbour,', 'Haley Bennett,', 'Bill Pullman,', 'Melissa Leo,', 'David Meunier,', 'Johnny Skourtis']","['Action & Adventure,', 'Crime Movies']","['Violent,', 'Dark']",16
Deep Blue Sea,1999.0,104,0.0,Scientists conduct research on sharks in search of an Alzheimer's cure. But a dangerous shortcut leads to huge sharks with near-human intelligence.,['Renny Harlin'],"['Thomas Jane,', 'Saffron Burrows,', 'Samuel L. Jackson,', 'Jacqueline McKenzie,', 'Michael Rapaport,', 'Stellan Skarsgård,', 'LL Cool J,', 'Aida Turturro,', 'Cristos,', 'Daniel Rey']","['Sci-Fi Movies,', 'Action & Adventure,', 'Horror Movies']","['Scary,', 'Suspenseful']",16
Security,2017.0,91,0.0,"After taking a job as a mall security guard, a former Marine steps up to protect a young girl who's being hunted by heavily armed mercenaries.","['Alain Desrochers,', 'Les Weldon']","['Antonio Banderas,', 'Ben Kingsley,', 'Liam McIntyre,', 'Cung Le,', 'Katherine de la Rocha,', 'Chad Lindberg,', 'Jiro Wang,', 'Gabriella Wright,', 'Shari Watson,', 'John Strong']",['Action & Adventure'],['Violent'],16
How It Ends,2018.0,113,0.0,"Worried about his pregnant fiancée amid a sudden cataclysm, a young lawyer embarks on a dangerous road trip west with his future father-in-law.",['David M. Rosenthal'],"['Theo James,', 'Forest Whitaker,', 'Kat Graham,', 'Nicole Ari Parker,', ""Mark O'Brien,"", 'Grace Dove']","['Sci-Fi Movies,', 'Action & Adventure']",['Ominous'],16
Spider-Man,2002.0,121,1.0,"After getting bitten by a genetically enhanced spider, shy teen Peter Parker uses his newfound superpowers to fight injustice and battle a vengeful supervillain.",['Sam Raimi'],"['Tobey Maguire,', 'Willem Dafoe,', 'Kirsten Dunst,', 'James Franco,', 'Cliff Robertson,', 'Rosemary Harris,', 'J.K. Simmons,', 'Joe Manganiello,', 'Gerry Becker,', 'Bill Nunn']","['Sci-Fi Movies,', 'Action & Adventure']",['Exciting'],13
The Core,2003.0,135,0.0,"The Earth's inner core has stopped spinning, and scientist Josh Keyes must discover why -- before the world literally falls apart.",['Jon Amiel'],"['Aaron Eckhart,', 'Hilary Swank,', 'Delroy Lindo,', 'Stanley Tucci,', 'DJ Qualls,', 'Richard Jenkins,', 'Tchéky Karyo,', 'Bruce Greenwood,', 'Alfre Woodard']","['Sci-Fi Movies,', 'Action & Adventure']","['Suspenseful,', 'Exciting']",13
Knight and Day,2010.0,109,0.0,"Unlucky in love, June becomes intrigued by a mysterious man who unexpectedly drags her into a whirlwind adventure involving devious enemies.",['James Mangold'],"['Tom Cruise,', 'Cameron Diaz,', 'Peter Sarsgaard,', 'Jordi Mollá,', 'Viola Davis,', 'Paul Dano,', 'Falk Hentschel,', 'Marc Blucas,', 'Lennie Loftin,', 'Maggie Grace,', 'Dale Dye']","['Romantic Comedies,', 'Spy Movies,', 'Action & Adventure,', 'Comedies,', 'Romantic Movies']","['Exciting,', 'Romantic']",13
Spider-Man: Far from Home,2019.0,129,0.0,Even your friendly neighborhood superhero can use a vacation. But a new threat forces Peter Parker to swing into action during a school trip to Europe.,['Jon Watts'],"['Tom Holland,', 'Zendaya,', 'Samuel L. Jackson,', 'Jake Gyllenhaal,', 'Jon Favreau,', 'Jacob Batalon,', 'Marisa Tomei,', 'Cobie Smulders,', 'J.B. Smoove,', 'Tony Revolori,', 'Angourie Rice']","['Sci-Fi Movies,', 'Action & Adventure']","['Suspenseful,', 'Exciting']",13
Extraction,2020.0,117,0.0,A hardened mercenary's mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,['Sam Hargrave'],"['Chris Hemsworth,', 'Rudhraksh Jaiswal,', 'Randeep Hooda,', 'Golshifteh Farahani,', 'Pankaj Tripathi,', 'David Harbour']","['Movies Based on Books,', 'Action & Adventure']","['Violent,', 'Gritty,', 'Exciting']",16
6 Underground,2019.0,128,0.0,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",['Michael Bay'],"['Ryan Reynolds,', 'Mélanie Laurent,', 'Corey Hawkins,', 'Dave Franco,', 'Adria Arjona,', 'Manuel Garcia-Rulfo,', 'Ben Hardy,', 'Lior Raz,', 'Payman Maadi,', 'Yuri Kolokolnikov,', 'Kim Kold']",['Action & Adventure'],['Adrenaline Rush'],16
Felon,2008.0,104,0.0,"The Hollywood Reporter says this heart-pounding action film delivers ""the thrills and emotion that prison movies require.""",['Ric Roman Waugh'],"['Stephen Dorff,', 'Val Kilmer,', 'Harold Perrineau,', 'Marisol Nichols,', 'Anne Archer,', 'Nick Chinlund,', 'Nate Parker,', 'Johnny Lewis,', 'Sam Shepard']","['Action & Adventure,', 'Crime Movies,', 'Dramas']",['Violent'],16
Gemini Man,2019.0,118,0.0,"A recently-retired sniper faces off with a younger, stronger, cloned version of himself that a covert government agency has engineered to kill him.",['Ang Lee'],"['Will Smith,', 'Mary Elizabeth Winstead,', 'Clive Owen,', 'Benedict Wong,', 'Ralph Brown,', 'Linda Emond,', 'Douglas Hodge,', 'Ilia Volok,', 'E.J. Bonilla']","['Spy Movies,', 'Action & Adventure']",['Exciting'],13
The Tourist,2010.0,103,0.0,An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.,['Florian Henckel von Donnersmarck'],"['Angelina Jolie,', 'Johnny Depp,', 'Paul Bettany,', 'Timothy Dalton,', 'Steven Berkoff,', 'Rufus Sewell,', 'Christian De Sica,', 'Alessio Boni,', 'Daniele Pecci,', 'Giovanni Guidelli']","['Mysteries,', 'Spy Movies,', 'Action & Adventure,', 'Crime Movies,', 'Romantic Movies']","['Suspenseful,', 'Exciting,', 'Romantic']",13
Rush Hour,1998.0,97,1.0,"When a Hong Kong inspector is summoned to Los Angeles to investigate a kidnapping, the FBI assigns a cocky LAPD cop to distract him from the case.",['Brett Ratner'],"['Jackie Chan,', 'Chris Tucker,', 'Tom Wilkinson,', 'Elizabeth Peña,', 'Chris Penn,', 'Philip Baker Hall,', 'Mark Rolston,', 'Tzi Ma,', 'Rex Linn,', 'Ken Leung']","['Martial Arts Movies,', 'Action & Adventure,', 'Comedies,', 'Crime Movies']",['Exciting'],13
S.W.A.T.: Firefight,2011.0,88,0.0,"After a botched hostage rescue, Detroit's Special Weapons and Tactics team becomes the target of a rogue government agent with revenge on his mind.",['Benny Boom'],"['Gabriel Macht,', 'Robert Patrick,', 'Carly Pope,', 'Giancarlo Esposito,', 'Kristanna Loken,', 'Matt Bushell,', 'Nicholas Gonzalez,', 'Micah Hauptman,', 'Shannon Kane']","['Action & Adventure,', 'Crime Movies']",['Exciting'],13
Saving Private Ryan,1998.0,169,1.0,"After braving D-Day, Capt. John Miller leads a band of soldiers behind enemy lines to find a paratrooper whose three brothers have been killed in action.",['Steven Spielberg'],"['Tom Hanks,', 'Tom Sizemore,', 'Edward Burns,', 'Barry Pepper,', 'Adam Goldberg,', 'Vin Diesel,', 'Giovanni Ribisi,', 'Jeremy Davies,', 'Matt Damon,', 'Ted Danson,', 'Paul Giamatti,', 'Dennis Farina,', 'Max Martini,', 'Dylan Bruno']","['Military Movies,', 'Action & Adventure,', 'Dramas']","['Violent,', 'Gritty']",16
Spider-Man: Homecoming,2017.0,133,0.0,Peter Parker returns to routine life as a high schooler until the Vulture's arrival gives him the chance to prove himself as a web-slinging superhero.,['Jon Watts'],"['Tom Holland,', 'Michael Keaton,', 'Robert Downey Jr.,', 'Marisa Tomei,', 'Jon Favreau,', 'Gwyneth Paltrow,', 'Zendaya,', 'Donald Glover,', 'Jacob Batalon,', 'Laura Harrier,', 'Tony Revolori,', 'Bokeem Woodbine,', 'Tyne Daly,', 'Abraham Attah,', 'Hannibal Buress,', 'Kenneth Choi,', 'Selenis Leyva,', 'Angourie Rice,', 'Martin Starr,', 'Garcelle Beauvais,', 'Michael Chernus,', 'Michael Mando,', 'Logan Marshall-Green']","['Sci-Fi Movies,', 'Action & Adventure']","['Suspenseful,', 'Exciting']",13
Man on Fire,2004.0,146,0.0,A jaded ex-CIA operative reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City and will stop at nothing when she's kidnapped.,['Tony Scott'],"['Denzel Washington,', 'Dakota Fanning,', 'Christopher Walken,', 'Giancarlo Giannini,', 'Radha Mitchell,', 'Marc Anthony,', 'Rachel Ticotin,', 'Mickey Rourke']","['Movies Based on Books,', 'Action & Adventure,', 'Crime Movies']","['Suspenseful,', 'Exciting']",16
The Old Guard,2020.0,125,0.0,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,['Gina Prince-Bythewood'],"['Charlize Theron,', 'KiKi Layne,', 'Marwan Kenzari,', 'Luca Marinelli,', 'Harry Melling,', 'Van Veronica Ngo,', 'Matthias Schoenaerts,', 'Chiwetel Ejiofor']","['Movies Based on Books,', 'Action & Adventure']","['Gritty,', 'Exciting']",16
Baywatch,2017.0,117,0.0,"To save their beach, elite lifeguard Mitch Buchannon and a former Olympian probe a criminal plot that threatens the future of the bay.",['Seth Gordon'],"['Dwayne Johnson,', 'Zac Efron,', 'Priyanka Chopra Jonas,', 'Alexandra Daddario,', 'Kelly Rohrbach,', 'Ilfenesh Hadera,', 'Jon Bass,', 'Yahya Abdul-Mateen II,', 'Hannibal Buress,', 'Rob Huebel,', 'Amin Joseph,', 'Jack Kesy,', 'Pamela Anderson,', 'Belinda,', 'Charlotte McKinney,', 'David Hasselhoff']","['Action & Adventure,', 'Comedies']","['Absurd,', 'Raunchy,', 'Exciting']",16
Everest,2015.0,121,0.0,"In 1996, rival mountaineering teams attempt to scale Mount Everest, but when a blizzard hits the summit, the climbers must fight to stay alive.",['Baltasar Kormákur'],"['Jason Clarke,', 'Jake Gyllenhaal,', 'Josh Brolin,', 'John Hawkes,', 'Robin Wright,', 'Emily Watson,', 'Michael Kelly,', 'Keira Knightley,', 'Sam Worthington,', 'Martin Henderson']","['British,', 'Movies Based on Real Life,', 'Action & Adventure,', 'Dramas']","['Gritty,', 'Exciting']",13
Kong: Skull Island,2017.0,118,0.0,"A U.S. military and scientific team sets out to survey an uncharted remote island, unaware of the gigantic surprise that lies in wait for them.",['Jordan Vogt-Roberts'],"['Tom Hiddleston,', 'Samuel L. Jackson,', 'Brie Larson,', 'John C. Reilly,', 'John Goodman,', 'Corey Hawkins,', 'John Ortiz,', 'Jing Tian,', 'Toby Kebbell,', 'Jason Mitchell,', 'Shea Whigham,', 'Terry Notary']",['Action & Adventure'],['Exciting'],13
Spider-Man: Into the Spider-Verse,2018.0,116,1.0,"After being bitten by a radioactive spider, Brooklyn teen Miles Morales gets a crash course in web-slinging from his alternate-dimension counterparts.","['Peter Ramsey,', 'Rodney Rothman,', 'Bob Persichetti']","['Shameik Moore,', 'Jake Johnson,', 'Hailee Steinfeld,', 'Brian Tyree Henry,', 'Lauren Vélez,', 'Mahershala Ali,', 'Lily Tomlin,', 'Kathryn Hahn,', 'Liev Schreiber,', 'Kimiko Glenn,', 'Nicolas Cage,', 'John Mulaney']","['Action & Adventure,', 'Comedies']","['Suspenseful,', 'Exciting']",13
The Hunt,2020.0,90,0.0,"In this dark horror satire, wealthy elites hunt innocent ordinary citizens for sport — until one of them turns the tables on her pursuers.",['Craig Zobel'],"['Betty Gilpin,', 'Hilary Swank,', 'Ike Barinholtz,', 'Amy Madigan,', 'Emma Roberts,', 'Ethan Suplee,', 'Sturgill Simpson,', 'Reed Birney,', 'Steve Coulter,', 'Wayne Duvall,', 'Glenn Howerton']","['Action & Adventure,', 'Horror Movies']","['Violent,', 'Suspenseful']",16
San Andreas,2015.0,114,0.0,"A devastating earthquake hits California, and a helicopter pilot and his soon-to-be ex-wife must rescue their daughter before a second one strikes.",['Brad Peyton'],"['Dwayne Johnson,', 'Carla Gugino,', 'Alexandra Daddario,', 'Ioan Gruffudd,', 'Archie Panjabi,', 'Paul Giamatti,', 'Hugo Johnstone-Burt,', 'Art Parkinson,', 'Will Yun Lee,', 'Kylie Minogue,', 'Colton Haynes']",['Action & Adventure'],"['Adrenaline Rush,', 'Exciting']",13
Unbroken,2014.0,137,0.0,Olympic track star Louis Zamperini becomes a pilot during World War II and endures a brutal struggle for survival when he is captured by the Japanese.,['Angelina Jolie'],"[""Jack O'Connell,"", 'Domhnall Gleeson,', 'Garrett Hedlund,', 'Miyavi,', 'Finn Wittrock,', 'Jai Courtney,', 'Maddalena Ischiale,', 'Vincenzo Amato,', 'John Magaro,', 'Luke Treadaway']","['Military Movies,', 'Movies Based on Real Life,', 'Movies Based on Books,', 'Action & Adventure,', 'Dramas']","['Violent,', 'Gritty,', 'Inspiring']",16
Black and Blue,2019.0,108,0.0,"When a rookie cop inadvertently captures corrupt officers committing a murder on tape, loyalties are tested when she's hunted for the footage.",['Deon Taylor'],"['Naomie Harris,', 'Tyrese Gibson,', 'Frank Grillo,', 'Mike Colter,', 'Reid Scott,', 'Beau Knapp,', 'Nafessa Williams,', 'James Moses Black,', 'Carsyn Taylor,', 'Lucky Johnson']","['Social Issue Dramas,', 'Action & Adventure,', 'Crime Movies,', 'Dramas']","['Gritty,', 'Suspenseful']",16
American Sniper,2014.0,132,0.0,"U.S. Navy SEAL marksman Chris Kyle racks up an unprecedented number of kills in Iraq, even as his home life starts to slip away from him.",['Clint Eastwood'],"['Bradley Cooper,', 'Sienna Miller,', 'Luke Grimes,', 'Jake McDorman,', 'Cory Hardrict,', 'Kevin Lacz,', 'Navid Negahban,', ""Keir O'Donnell,"", 'Kyle Gallner,', 'Sam Jaeger']","['Military Movies,', 'Movies Based on Real Life,', 'Movies Based on Books,', 'Action & Adventure,', 'Dramas']",['Gritty'],16
Jarhead 2: Field of Fire,2014.0,102,0.0,A Marine contingent stationed in Afghanistan faces a daunting mission when they attempt to help a famously defiant woman escape the Taliban.,['Don Michael Paul'],"['Cole Hauser,', 'Josh Kelly,', 'Danielle Savre,', 'Bokeem Woodbine,', 'Ronny Jhutti,', 'Cassie Layton,', 'Jesse Garcia,', 'Jason Wong,', 'Esai Morales,', 'Stephen Lang']","['Military Movies,', 'Action & Adventure,', 'Dramas']","['Adrenaline Rush,', 'Violent']",18
Inglourious Basterds,2009.0,152,0.0,"A Jewish cinema owner in occupied Paris is forced to host a Nazi premiere, where a group of American soldiers called the Basterds plans a face-off.",['Quentin Tarantino'],"['Brad Pitt,', 'Mélanie Laurent,', 'Christoph Waltz,', 'Eli Roth,', 'Michael Fassbender,', 'Diane Kruger,', 'Daniel Brühl,', 'Til Schweiger,', 'Gedeon Burkhard,', 'Jacky Ido,', 'B.J. Novak,', 'Sylvester Groth,', 'Martin Wuttke']","['Spy Movies,', 'Military Movies,', 'Action & Adventure']","['Violent,', 'Irreverent,', 'Suspenseful']",18
The Dark Knight,2008.0,152,1.0,"Batman, Lieutenant Gordon and District Attorney Harvey Dent go up against the Joker, a criminal mastermind in ghoulish makeup terrorizing Gotham City.",['Christopher Nolan'],"['Christian Bale,', 'Heath Ledger,', 'Aaron Eckhart,', 'Michael Caine,', 'Maggie Gyllenhaal,', 'Gary Oldman,', 'Morgan Freeman,', 'Monique Gabriela Curnen']",['Action & Adventure'],"['Dark,', 'Exciting']",16
